zip_code,item_number,bottles_sold,store_name
50010,946574,288,"Sam's Club 6568 / Ames"
50022,86507,4,"Hy-Vee Wine and Spirits / Atlantic"
50111.0,77805,108,"Fareway Stores #983 / Grimes"
50131,38089,48,"Hy-Vee Food Store / Johnston"
50158,67557,6,"Hy-Vee Food Store / Marshalltown"
50158,67528,3,"Depot Liquor & Grocery"
50158,48099,24,"East Side Liquor and Groceries"
50263,3135,84,"Hy-Vee / Waukee"
50265.0,67526,72,"Fareway Stores #153  /  W Des Moines"
50266,250,90,"Hy-Vee Wine and Spirits / WDM"
50314,86251,60,"Central City 2"
50314,48106,60,"Central City 2"
50314,49182,24,"Shop N Save #1 / Mlk Pkwy"
50314,86251,180,"Central City 2"
50314,56193,24,"Shop N Save #1 / Mlk Pkwy"
50316,48099,48,"Tequila's Liquor Store"
50317,56193,24,"Hy-Vee Wine and Spirits / Hubbell"
50320,973627,120,"Hy-Vee #3 / BDI / Des Moines"
50320,77487,72,"Hy-Vee #3 / BDI / Des Moines"
50320.0,926577,66,"Hy-Vee #3 / BDI / Des Moines"
50327,43040,102,"Fareway Stores #138 / Pleasant Hill"
50401.0,86843,18,"Hy-Vee Food Store #1 / Mason City"
50401.0,986845,48,"Hy-Vee Food Store #1 / Mason City"
50461,35918,30,"Osage Payless Foods"
50501,38176,108,"Hy-Vee Food Store / Fort Dodge"
50588,84617,4,"Hy-Vee Wine and Spirits / Storm Lake"
50662,86739,8,"Fareway Stores #412 / Oelwein"
50701,86112,2,"Hy-Vee Wine and Spirits / Waterloo"
50701,43034,7,"New Star Liquor / W 4th S / Waterloo"
50701.0,43031,4,"New Star Liquor / W 4th S / Waterloo"
50702,917914,18,"Hy-Vee Food Store #3 / Waterloo"
50702,77487,768,"Sam's Club 6514 / Waterloo"
50703,37880,24,"Logan Convenience Store"
50703,48099,24,"Ray's Supermarket, Inc."
50703,168,180,"Hy-Vee Food Store #2 / Waterloo"
50703,43034,1,"Hy-Vee Food Store #2 / Waterloo"
50707,15626,60,"Fareway Stores #067 / Evansdale"
50801,43037,5,"Fareway Stores #597 / Creston"
51106,86251,144,"Sam's Club 6432 / Sioux City"
51106,67527,240,"Sam's Club 6432 / Sioux City"
51106,67586,84,"Sam's Club 6432 / Sioux City"
51246,82187,5,"Liquor Locker"
51247.0,86112,6,"Pump N Pak"
51360,77487,48,"Hy-Vee Wine and Spirits / Spirit Lake"
51401,33717,4,"Fareway Stores #409 / Carroll"
51401,43031,12,"Hy-Vee Food Store / Carroll"
51401.0,27189,18,"Hy-Vee Food Store / Carroll"
51501,67524,7,"Speedy Gas N Shop"
51501,43031,4,"Tobacco Hut #14 / Council Bluffs"
51501,81124,2,"Hy-Vee Drugstore / Council Bluffs"
51501.0,86251,48,"I-80 Liquor / Council Bluffs"
51555,45247,2,"Food Land Super Markets"
52001,67557,4,"Iowa Street Market, Inc."
52003,43031,5,"Sid's Beverage Shop"
52136,35917,2,"The Ox & Wren Spirits and Gifts"
52172,67524,1,"Double D Liquor Store"
52240,27102,18,"Hy-Vee Wine and Spirits / Iowa City"
52240,86251,60,"Hy-Vee Wine and Spirits / Iowa City"
52241,43034,1,"Bootleggin' Barzini's Fin"
52241.0,65750,48,"Hy-Vee Food Store / Coralville"
52314,75087,660,"Wilkie Liquors"
52314,75087,900,"Wilkie Liquors"
52338,27357,90,"Cedar Ridge Vineyards"
52402,45246,7,"CVS Pharmacy #8526 / Cedar Rapids"
52402,86390,216,"Sam's Club 8162 / Cedar Rapids"
52411,41846,36,"Hy-Vee #7 / Cedar Rapids"
52556.0,86251,6,"Hy-Vee Food Store / Fairfield"
52601,48099,24,"Burlington Shell"
52601,35913,48,"Quik Stop  /  Burlington"
52627.0,67586,36,"Quicker Liquor Store"
52732,45248,24,"Hy-Vee Food and Drug / Clinton"
52761,82847,4,"Nash Finch / Wholesale Food"
52803.0,41844,3,"Hilltop Grocery"
52804,48690,2,"Famous Liquors"
